GeneMark.hmm PROKARYOTIC (Version 3.42)
Date: Tue May 13 03:26:44 2025
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Escherichia_coli_K_12_substr__MG1655/GeneMark_hmm_combined.mod
RBS: true
Model information: Escherichia_coli_K_12_substr__MG1655

FASTA definition line: Chromosome dna:chromosome chromosome:ASM584v2:Chromosome:1:4641652:1 REF
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
  344        +      372921      373871          951        1
  345        +      373868      374881         1014        1
  346        +      375459      376670         1212        1
  347        +      376772      377311          540        1
  348        -      377535      378368          834        1
  349        -      378462      379571         1110        1
  350        -      379606      379881          276        2
  351        -      380069      380842          774        1
  352        -      380844      381287          444        1
  353        +      381351      381716          366        2
  354        +      381788      382579          792        1
  355        -      382739      383899         1161        1
  356        -      383945      384043           99        1
  357        -      384059      384616          558        1
  358        +      385232      386194          963        1
  359        +      386207      386974          768        1
  360        +      386971      387798          828        1
  361        +      387795      388646          852        1
  362        -      388753      389727          975        1
  363        +      390251      391711         1461        1
  364        -      391739      392605          867        1
  365        -      392602      392901          300        1
  366        +      393015      394418         1404        1
  367        +      394506      395129          624        1
  368        -      395130      396287         1158        1
  369        +      396639      397859         1221        1
  370        +      397872      398966         1095        1
  371        -      399025      399333          309        1
  372        +      399566      399805          240        1
  373        -      399829      400923         1095        1
  374        +      401386      401646          261        2
  375        +      401747      403162         1416        1
  376        +      403281      403601          321        1
  377        +      403718      404818         1101        1
  378        -      404835      405644          810        1
  379        +      405764      406222          459        1
  380        +      406462      406929          468        1
  381        +      406979      407170          192        1
  382        +      407428      408105          678        1
  383        +      408177      408461          285        1
  384        +      408669      408950          282        1
  385        +      408947      409030           84        1
  386        -      409108      410085          978        1
  387        +      410144      411052          909        1
  388        -      411297      412565         1269        1
  389        -      412607      415753         3147        1
  390        -      415750      416952         1203        1
  391        +      417142      417831          690        1
  392        +      417889      419184         1296        1
  393        +      419591      420910         1320        1
  394        +      421040      422359         1320        1
  395        +      422518      424332         1815        1
  396        -      424337      424918          582        1
  397        +      425011      426081         1071        1
  398        +      426137      427264         1128        1
  399        +      427287      427619          333        1
  400        +      427680      429494         1815        1
  401        +      429505      430476          972        1
  402        +      430605      430952          348        1
  403        -      431129      432013          885        1
  404        -      432312      432851          540        1
  405        +      433002      433451          450        1
  406        +      433473      434558         1086        1
  407        +      434647      435117          471        1
  408        +      435137      435556          420        1
  409        +      435634      436611          978        1
  410        +      436589      437107          519        1
  411        -      437161      438135          975        1
  412        -      438315      440177         1863        1
  413        -      440202      441101          900        1
  414        -      441101      441343          243        1
  415        +      441549      442997         1449        1
  416        -      443051      443641          591        1
  417        -      443604      444515          912        1
  418        +      444683      445174          492        1
  419        -      445302      446666         1365        1
  420        -      446815      447702          888        1
  421        -      447717      448046          330        1
  422        -      448046      448660          615        1
  423        -      448650      450641         1992        1
  424        -      450663      451550          888        1
  425        -      452070      453545         1476        1
  426        -      453589      454167          579        1
  427        +      454472      454789          318        1
  428        +      454798      454986          189        1
  429        +      455133      456431         1299        1
  430        +      456677      457300          624        1
  431        +      457426      458700         1275        1
  432        +      458888      461242         2355        1
  433        +      461451      461723          273        1
  434        +      461915      463786         1872        1
  435        +      463937      464308          372        1
  436        +      464402      464800          399        1
  437        -      464852      465547          696        1
  438        -      465612      467312         1701        1
  439        +      467412      468230          819        1
  440        +      468383      468841          459        1
  441        +      468871      470643         1773        1
  442        +      470636      472417         1782        1
  443        -      472431      472571          141        2
  444        +      472598      472936          339        1
  445        +      472966      474252         1287        1
  446        -      474301      475161          861        1
  447        +      475379      475951          573        1
  448        -      475982      476293          312        1
  449        +      476672      477025          354        1
  450        -      477067      478623         1557        1
  451        -      478781      479251          471        1
  452        -      479367      479918          552        1
  453        -      480090      480308          219        1
  454        -      480334      480708          375        1
  455        -      481254      484403         3150        1
  456        -      484426      485619         1194        1
  457        +      485761      486408          648        1
  458        +      486536      489898         3363        1
  459        -      490110      490271          162        1
  460        -      490285      490812          528        1
  461        +      490882      491259          378        1
  462        +      491412      491963          552        1
  463        +      492092      494023         1932        1
  464        +      494076      494405          330        1
  465        +      494405      495010          606        1
  466        +      495120      496994         1875        1
  467        +      497175      497819          645        1
  468        +      498055      499017          963        1
  469        -      499014      499973          960        1
  470        +      500125      501429         1305        1
  471        -      501562      503238         1677        1
  472        -      503476      504696         1221        1
  473        +      504914      506566         1653        1
  474        -      506603      507082          480        1
  475        -      507286      508080          795        1
  476        +      508218      508559          342        1
  477        -      508875      511379         2505        1
  478        +      511641      512573          933        1
  479        +      512576      513868         1293        1
  480        +      513993      514400          408        1
  481        -      514401      514859          459        1
  482        -      514856      515773          918        1
  483        +      515919      516596          678        1
  484        +      516583      517362          780        1
  485        -      517425      518279          855        1
  486        -      518340      519149          810        1
  487        -      519139      519762          624        1
  488        +      519733      520419          687        1
  489        +      520416      522830         2415        1
  490        +      523261      527541         4281        1
  491        +      527581      527949          369        2
  492        +      527949      528659          711        2
  493        +      528640      528900          261        2
  494        -      529645      530016          372        1
  495        -      530132      531226         1095        1
  496        -      531295      532221          927        1
  497        +      532451      532933          483        1
  498        +      533056      533826          771        1
  499        +      533916      535697         1782        1
  500        +      535710      536486          777        1
  501        +      536586      537464          879        1
  502        +      537633      539087         1455        1
  503        +      539147      540508         1362        1
  504        +      540565      541866         1302        1
  505        +      541888      543033         1146        1
  506        -      543261      544046          786        1
  507        -      544057      545292         1236        1
  508        -      545314      546363         1050        1
  509        +      546680      548347         1668        1
  510        +      548357      549616         1260        1
  511        +      549627      550442          816        1
  512        +      550439      551332          894        1
  513        -      551527      552594         1068        1
  514        -      552591      553100          510        1
  515        -      553218      553940          723        1
  516        -      553943      554437          495        1
  517        +      554611      555996         1386        1
  518        -      556032      556553          522        1
  519        -      556661      556873          213        1
  520        -      556875      557741          867        1
  521        +      558212      558754          543        1
  522        +      558974      559666          693        1
  523        +      559904      562300         2397        1
  524        +      562336      563319          984        1
  525        +      563330      563845          516        2
  526        -      563848      564480          633        1
  527        -      564815      565978         1164        2
  528        -      566098      566361          264        1
  529        +      566475      566687          213        2
  530        +      566684      566779           96        1
  531        +      566842      567141          300        1
  532        +      567138      568004          867        1
  533        +      568062      568247          186        2
  534        +      568315      568647          333        1
  535        +      568902      570428         1527        2
  536        +      571206      571331          126        2
  537        -      571578      571826          249        2
  538        +      572466      572921          456        1
  539        +      572921      573091          171        2
  540        +      573084      573374          291        1
  541        +      573371      573733          363        1
  542        +      573956      574339          384        2
  543        +      574481      574699          219        2
  544        -      574737      575717          981        1
  545        -      575758      576825         1068        1
  546        +      577398      577613          216        2
  547        +      577613      578110          498        1
  548        +      578107      578568          462        1
  549        -      578600      578893          294        1
  550        -      579184      579594          411        2
  551        +      579880      580086          207        1
  552        +      580834      581379          546        1
  553        +      581354      582097          744        1
  554        -      582152      582583          432        2
  555        +      582875      583060          186        1
  556        +      583768      584430          663        2
  557        -      584680      585633          954        2
  558        -      586147      586908          762        1
  559        -      587091      587981          891        1
  560        -      587982      590954         2973        1
  561        -      590941      593178         2238        1
  562        -      593328      594770         1443        1
  563        -      594760      595443          684        1
  564        +      595600      596973         1374        1
  565        +      597131      597463          333        1
  566        +      597479      598702         1224        1
  567        +      598714      601857         3144        1
  568        +      601959      603335         1377        1
  569        -      603416      604663         1248        1
  570        -      604771      605424          654        1
  571        -      605518      605886          369        1
  572        -      605951      606199          249        1
  573        -      606265      607383         1119        1
  574        +      607737      607988          252        2
  575        +      608065      609177         1113        2
  576        -      609459      610088          630        1
  577        -      610254      612494         2241        1
  578        +      612737      613939         1203        1
  579        +      613942      614160          219        1
  580        +      614157      618038         3882        1
  581        +      618254      619387         1134        1
  582        -      619384      620199          816        1
  583        -      620196      621188          993        1
  584        -      621185      622189         1005        1
  585        +      622300      623550         1251        1
  586        -      623554      624462          909        1
  587        +      624885      626060         1176        1
  588        +      626070      627680         1611        1
  589        +      627694      628551          858        1
  590        +      628551      629297          747        1
  591        +      629300      629713          414        1
  592        +      629939      631999         2061        1
  593        +      632182      632379          198        1
  594        -      632389      633477         1089        1
  595        +      633586      634746         1161        1
  596        -      634747      635364          618        1
  597        -      635349      636569         1221        1
  598        -      636716      637618          903        2
  599        -      637827      638573          747        2
  600        +      638945      639508          564        1
  601        -      639638      639754          117        1
  602        +      639753      641318         1566        1
  603        -      641439      641867          429        1
  604        +      642088      643326         1239        1
  605        -      643330      643419           90        2
  606        -      643557      643967          411        1
  607        -      644197      645003          807        1
  608        -      645117      646547         1431        1
  609        -      646631      647503          873        1
  610        -      647484      648035          552        1
  611        -      648039      649571         1533        1
  612        -      649582      650490          909        1
  613        -      650487      650783          297        1
  614        -      650798      651856         1059        1
  615        +      652235      653893         1659        1
  616        +      653883      654542          660        1
  617        -      654583      655968         1386        1
  618        +      656557      657117          561        1
  619        +      657292      657501          210        1
  620        -      657555      657938          384        1
  621        +      658031      658258          228        1
  622        +      658255      658818          564        1
  623        +      658947      659150          204        1
  624        -      659251      660216          966        1
  625        -      660425      661378          954        1
  626        -      661637      662278          642        1
  627        -      662379      662642          264        1
  628        -      662752      664035         1284        1
  629        -      664102      665190         1089        1
  630        -      665201      666313         1113        1
  631        -      666316      668217         1902        1
  632        -      668248      668715          468        1
  633        -      668719      669036          318        1
  634        -      669296      669907          612        1
  635        -      669931      670572          642        1
  636        -      670574      671605         1032        1
  637        -      671605      672186          582        1
  638        -      672201      674636         2436        1
  639        +      675018      675500          483        1
  640        -      675570      676547          978        1
  641        +      676711      677418          708        1
  642        +      677415      678842         1428        1
  643        -      678852      679406          555        1
  644        +      679508      680215          708        2
  645        +      680212      681663         1452        1
  646        -      681723      683393         1671        1
  647        -      683477      684412          936        1
  648        -      684530      685255          726        1
  649        -      685255      685929          675        1
  650        -      685929      686669          741        1
  651        -      686839      687747          909        1
  652        -      687997      688977          981        1
  653        -      689343      690881         1539        1
  654        -      690906      691784          879        1
  655        -      691874      692341          468        1
  656        -      692338      693378         1041        1
  657        -      693531      694955         1425        1
  658        +      695101      696276         1176        1
  659        -      697513      699177         1665        1
  660        -      699574      700326          753        1
  661        -      700374      701594         1221        1
  662        -      701603      702751         1149        1
  663        -      702811      703611          801        1
  664        +      703944      705890         1947        1
  665        +      706093      707757         1665        1
  666        -      707966      708076          111        1
  667        +      708334      709740         1407        1
  668        +      709790      710116          327        1
  669        -      710200      710646          447        1
  670        -      710935      711465          531        1
  671        -      711605      711967          363        1
  672        -      712038      712802          765        1
  673        +      712987      713532          546        1
  674        +      713558      715198         1641        1
  675        +      715412      715906          495        2
  676        -      715947      716309          363        2
  677        -      716388      716597          210        1
  678        -      716946      718265         1320        1
  679        -      718262      720460         2199        1
  680        +      720583      720840          258        2
  681        -      721056      721733          678        1
  682        -      721730      724414         2685        1
  683        -      724407      724979          573        1
  684        -      724988      727036         2049        1
  685        -      727059      728732         1674        1
  686        -      728732      728821           90        1
  687        +      729134      729340          207        1
  688        +      729583      733776         4194        1
  689        +      733776      734102          327        2
  690        +      734220      735653         1434        1
  691        +      735650      736219          570        2
  692        +      736445      736699          255        2
  693        +      736918      737961         1044        2
  694        +      738092      738853          762        2
  695        +      739001      739510          510        1
  696        +      739507      740925         1419        1
  697        -      741075      742556         1482        1
  698        +      742827      743570          744        1
  699        +      743593      744249          657        1
  700        +      744243      745175          933        1
  701        +      745165      745899          735        1
  702        +      745935      746726          792        1
  703        -      746723      747646          924        1
  704        -      747648      747914          267        2
  705        -      747921      748982         1062        1
  706        -      748979      749707          729        1
  707        -      749722      752112         2391        1
  708        -      752229      752795          567        1
  709        -      753185      754468         1284        1
  710        +      755162      755566          405        2
  711        +      755560      755907          348        1
  712        +      755907      757673         1767        1
  713        +      757689      758405          717        1
  714        +      758706      761507         2802        1
  715        +      761522      762739         1218        1
  716        +      763014      764180         1167        1
  717        +      764180      765049          870        1
  718        -      765153      765875          723        1
  719        +      766044      767960         1917        1
  720        +      767978      770611         2634        1
  721        +      770636      770863          228        2
  722        +      771458      773026         1569        1
  723        +      773042      774181         1140        1
  724        +      774196      774309          114        1
  725        +      774309      774602          294        1
  726        +      774752      775156          405        1
  727        +      775162      775845          684        1
  728        +      775849      776277          429        1
  729        +      776342      777607         1266        1
  730        +      777740      779032         1293        1
  731        +      779067      779588          522        1
  732        +      779598      780389          792        1
  733        +      782094      783128         1035        1
  734        +      783166      783885          720        1
  735        -      783882      784823          942        1
  736        -      784937      785317          381        1
